Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,March,223759,Country Inn & Suites Columbus - North,24.0,1,1,0
2005,March,250903,Hilton Garden Inn Columbus Airport,19.0,1,2,0
2005,March,223772,Extended Stay America - Columbus - North,16.0,1,3,50
2005,March,101653,Fort Rapids Indoor Waterpark Resort,14.0,1,4,49
2005,March,240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,13.25,4,5,-2
2005,March,95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2,6,-2
2005,March,223750,Hampton Inn and Suites Columbus Downtown,12.5,2,7,-2
2005,March,95275,University Plaza Hotel and Conference Center,12.0,1,8,45
2005,March,101641,Hampton Inn Columbus Airport,12.0,2,9,-3
2005,March,75221,Comfort Inn & Suites,11.0,2,10,17
2005,March,122237,Red Roof Inn Columbus Downtown - Convention Center,11.0,2,11,-4
2005,March,223765,Varsity Inn OSU North,10.0,3,12,13
2005,March,223775,Fairfield Inn & Suites Columbus OSU,10.0,3,13,-5
2005,March,95258,Crowne Plaza Columbus North,9.666666666666666,3,14,7
2005,March,101757,Clarion Hotel & Suites Conference Center,9.5,2,15,28
2005,March,95247,Crowne Plaza Columbus Downtown,8.75,4,16,-7
2005,March,95288,Sheraton Suites Columbus,8.4,10,17,-7
2005,March,101643,Wingate by Wyndham Columbus,7.5,2,18,-7
2005,March,223223,Staybridge Suites Columbus Airport,7.0,3,19,-7
2005,March,258165,Drury Inn & Suites Columbus Convention Center,7.0,7,20,-7
2005,March,122229,Renaissance Columbus Downtown Hotel,5.833333333333333,6,21,10
2005,March,246937,The Blackwell,5.0,2,22,-8
2005,March,223753,Country Inn & Suites Columbus-West,5.0,1,23,-8
2005,March,223767,Americas Best Value Inn - Columbus / North,5.0,1,24,29
2005,March,114725,German Village Inn,5.0,1,25,-9
2005,March,101646,TownePlace Suites Columbus Airport Gahanna,5.0,1,26,-9
2005,March,223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1,27,-9
2005,March,223735,Residence Inn Columbus Easton,5.0,1,28,25
2005,March,223748,Hilton Columbus at Easton,5.0,1,29,-10
2005,March,95265,Columbus Airport Marriott,4.5,2,30,-10
2005,March,217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,4.375,8,31,-9
2005,March,101657,Extended Stay America - Columbus - Worthington,4.0,1,32,-9
2005,March,223737,Residence Inn Columbus Worthington,4.0,1,33,-9
2005,March,75212,BEST WESTERN PLUS Columbus North,4.0,1,34,-8
2005,March,95230,Courtyard by Marriott Columbus Worthington,4.0,1,35,-7
2005,March,278081,Courtyard Columbus Easton,4.0,1,36,-7
2005,March,223760,Courtyard by Marriott Columbus Downtown,3.6666666666666665,3,37,-7
2005,March,95261,Holiday Inn Columbus Downtown Capital Square,2.6,5,38,-6
2005,March,101649,Columbus Inn & Suites,2.25,4,39,-6
2005,March,95253,Hyatt Regency Columbus,2.090909090909091,11,40,-6
2005,March,101665,Knights Inn Downtown Columbus,2.0,2,41,-6
2005,March,95263,Ramada Inn East Airport,2.0,1,42,-6
2005,March,95264,Days Inn Columbus North,2.0,3,43,-6
2005,March,123898,Super 8 Motel Columbus,2.0,1,44,-6
2005,March,223771,La Quinta Inn & Suites Columbus West - Hilliard,2.0,1,45,-6
2005,March,95238,Embassy Suites Hotel Columbus,2.0,1,46,-6
2005,March,101636,Comfort Suites Airport,1.5,2,47,-6
2005,March,95289,Ramada Columbus North,1.5,2,48,-6
2005,March,223509,Holiday Inn Express & Suites Columbus Southeast,1.0,1,49,4
2005,March,90216,East Suites Hotel Columbus,1.0,1,50,-6
2005,March,281777,Comfort Suites - Columbus / Clara St,1.0,1,51,-6
2005,March,95269,Comfort Inn North,1.0,1,52,-6
2005,April,223759,Country Inn & Suites Columbus - North,21.5,2,1,0
2005,April,250903,Hilton Garden Inn Columbus Airport,20.0,2,2,0
2005,April,223772,Extended Stay America - Columbus - North,16.0,1,3,0
2005,April,101653,Fort Rapids Indoor Waterpark Resort,14.0,1,4,0
2005,April,240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,13.25,4,5,0
2005,April,95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2,6,0
2005,April,223750,Hampton Inn and Suites Columbus Downtown,12.5,2,7,0
2005,April,95275,University Plaza Hotel and Conference Center,12.0,1,8,0
2005,April,101641,Hampton Inn Columbus Airport,12.0,2,9,0
2005,April,246937,The Blackwell,11.666666666666666,3,10,12
2005,April,75221,Comfort Inn & Suites,11.0,2,11,-1
2005,April,122237,Red Roof Inn Columbus Downtown - Convention Center,11.0,2,12,-1
2005,April,223765,Varsity Inn OSU North,10.0,3,13,-1
2005,April,223775,Fairfield Inn & Suites Columbus OSU,10.0,3,14,-1
2005,April,95258,Crowne Plaza Columbus North,9.666666666666666,3,15,-1
2005,April,95247,Crowne Plaza Columbus Downtown,8.75,4,16,0
2005,April,95288,Sheraton Suites Columbus,8.4,10,17,0
2005,April,101643,Wingate by Wyndham Columbus,7.5,2,18,0
2005,April,122229,Renaissance Columbus Downtown Hotel,7.142857142857143,7,19,2
2005,April,101757,Clarion Hotel & Suites Conference Center,7.0,3,20,-5
2005,April,223223,Staybridge Suites Columbus Airport,7.0,3,21,-2
2005,April,258165,Drury Inn & Suites Columbus Convention Center,7.0,7,22,-2
2005,April,90214,Rodeway Inn North,6.0,1,23,31
2005,April,101636,Comfort Suites Airport,5.666666666666667,3,24,23
2005,April,95238,Embassy Suites Hotel Columbus,5.5,2,25,21
2005,April,223753,Country Inn & Suites Columbus-West,5.0,1,26,-3
2005,April,223767,Americas Best Value Inn - Columbus / North,5.0,1,27,-3
2005,April,114725,German Village Inn,5.0,1,28,-3
2005,April,101646,TownePlace Suites Columbus Airport Gahanna,5.0,1,29,-3
2005,April,223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1,30,-3
2005,April,223735,Residence Inn Columbus Easton,5.0,1,31,-3
2005,April,223748,Hilton Columbus at Easton,5.0,1,32,-3
2005,April,95265,Columbus Airport Marriott,4.5,2,33,-3
2005,April,217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,4.375,8,34,-3
2005,April,101657,Extended Stay America - Columbus - Worthington,4.0,1,35,-3
2005,April,223737,Residence Inn Columbus Worthington,4.0,1,36,-3
2005,April,75212,BEST WESTERN PLUS Columbus North,4.0,1,37,-3
2005,April,95230,Courtyard by Marriott Columbus Worthington,4.0,1,38,-3
2005,April,278081,Courtyard Columbus Easton,4.0,1,39,-3
2005,April,223760,Courtyard by Marriott Columbus Downtown,3.6666666666666665,3,40,-3
2005,April,123898,Super 8 Motel Columbus,3.5,2,41,3
2005,April,95261,Holiday Inn Columbus Downtown Capital Square,2.6,5,42,-4
2005,April,101649,Columbus Inn & Suites,2.25,4,43,-4
2005,April,95253,Hyatt Regency Columbus,2.090909090909091,11,44,-4
2005,April,101665,Knights Inn Downtown Columbus,2.0,2,45,-4
2005,April,95263,Ramada Inn East Airport,2.0,1,46,-4
2005,April,95264,Days Inn Columbus North,2.0,3,47,-4
2005,April,223771,La Quinta Inn & Suites Columbus West - Hilliard,2.0,1,48,-3
2005,April,95289,Ramada Columbus North,1.5,2,49,-1
2005,April,223509,Holiday Inn Express & Suites Columbus Southeast,1.0,1,50,-1
2005,April,90216,East Suites Hotel Columbus,1.0,1,51,-1
2005,April,281777,Comfort Suites - Columbus / Clara St,1.0,1,52,-1
2005,April,95269,Comfort Inn North,1.0,1,53,-1
2005,May,223759,Country Inn & Suites Columbus - North,21.5,2,1,0
2005,May,250903,Hilton Garden Inn Columbus Airport,20.0,2,2,0
2005,May,223772,Extended Stay America - Columbus - North,16.0,1,3,0
2005,May,101653,Fort Rapids Indoor Waterpark Resort,14.0,1,4,0
2005,May,240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,13.25,4,5,0
2005,May,101661,Courtyard by Marriott Columbus Airport,13.0,1,6,49
2005,May,95250,Homewood Suites by Hilton Columbus / Worthington,13.0,2,7,-1
2005,May,223750,Hampton Inn and Suites Columbus Downtown,12.5,2,8,-1
2005,May,95275,University Plaza Hotel and Conference Center,12.0,1,9,-1
2005,May,101641,Hampton Inn Columbus Airport,12.0,2,10,-1
2005,May,246937,The Blackwell,11.666666666666666,3,11,-1
2005,May,95288,Sheraton Suites Columbus,11.083333333333334,12,12,5
2005,May,75221,Comfort Inn & Suites,11.0,2,13,-2
2005,May,122237,Red Roof Inn Columbus Downtown - Convention Center,11.0,2,14,-2
2005,May,122229,Renaissance Columbus Downtown Hotel,10.333333333333334,9,15,4
2005,May,223765,Varsity Inn OSU North,10.0,3,16,-3
2005,May,223775,Fairfield Inn & Suites Columbus OSU,10.0,3,17,-3
2005,May,95258,Crowne Plaza Columbus North,9.666666666666666,3,18,-3
2005,May,258165,Drury Inn & Suites Columbus Convention Center,9.25,8,19,3
2005,May,95247,Crowne Plaza Columbus Downtown,8.75,4,20,-4
2005,May,101643,Wingate by Wyndham Columbus,7.5,2,21,-3
2005,May,101757,Clarion Hotel & Suites Conference Center,7.0,3,22,-2
2005,May,223223,Staybridge Suites Columbus Airport,7.0,3,23,-2
2005,May,90214,Rodeway Inn North,6.0,1,24,-1
2005,May,101636,Comfort Suites Airport,5.666666666666667,3,25,-1
