Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,February,74834,Comfort Suites Phoenix / MetroCenter,6.5,2,19,-1
2005,February,73943,Royal Palms Resort and Spa,6.25,16,20,-1
2005,February,115482,DoubleTree Suites by Hilton Phoenix,5.8,10,21,-1
2005,February,73957,Pointe Hilton Squaw Peak Resort,5.745454545454545,55,22,-1
2005,February,277997,Pointe Hilton Tapatio Cliffs Resort,5.705882352941177,68,23,-1
2005,February,75662,Holiday Inn Express Phoenix Airport (University Drive),5.0,3,24,-1
2005,February,224733,Candlewood Suites Phoenix,5.0,3,25,-1
2005,February,74927,La Quinta Inn & Suites Phoenix Chandler,5.0,1,26,-1
2005,February,119363,Country Inn & Suites Deer Valley,5.0,1,27,-1
2005,February,115484,Arizona Biltmore,4.7894736842105265,19,28,-1
2005,February,73727,Grace Inn Phoenix,4.5,2,29,0
2005,February,112162,Hotel San Carlos,4.466666666666667,15,30,-2
2005,February,74657,Extended Stay America - Phoenix - Metro Center,4.333333333333333,3,31,-1
2005,February,115483,Hampton Inn & Suites Phoenix Airport South,4.333333333333333,3,32,-1
2005,February,73799,Embassy Suites Hotel Phoenix-North,4.25,4,33,-1
2005,February,119366,Budget Suites of America,4.0,1,34,-1
2005,February,73950,Sleep Inn Airport,4.0,3,35,-1
2005,February,119355,Coast Phoenix Sky Harbor Hotel,4.0,1,36,-1
2005,February,74545,Residence Inn Phoenix Airport,4.0,1,37,-1
2005,February,119356,Hampton Inn Phoenix Airport North,4.0,1,38,-1
2005,February,564652,Radisson Hotel Phoenix Airport,4.0,2,39,-1
2005,February,73947,Sheraton Crescent Hotel,4.0,4,40,-1
2005,February,112179,The Ritz-Carlton Phoenix,3.8,5,41,-1
2005,February,73869,Motel 6 Phoenix - Black Canyon,3.0,2,42,-1
2005,February,248145,Sierra Grande Suites,3.0,1,43,-1
2005,February,239801,Studio 6 Phoenix - Deer Valley,3.0,1,44,-1
2005,February,74805,Fairfield Inn Phoenix North,3.0,2,45,-1
2005,February,271801,Crowne Plaza Phoenix,3.0,3,46,-1
2005,February,73751,Courtyard by Marriott Phoenix North,3.0,1,47,-1
2005,February,73821,Hilton Phoenix Airport,3.0,2,48,-1
2005,February,73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,3.0,1,49,-1
2005,February,74548,Marriott Phoenix Airport,3.0,2,50,-1
2005,February,73810,Hampton Inn Phoenix Midtown (Downtown Area),3.0,1,51,-1
2005,February,119351,Homewood Suites by Hilton Phoenix - Biltmore,3.0,3,52,-1
2005,February,73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,3.0,1,53,-1
2005,February,223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2,54,-1
2005,February,74687,Ramada Inn Phoenix Downtown,2.5,2,55,-1
2005,February,74758,La Quinta Inn Phoenix - Arcadia,2.5,2,56,-1
2005,February,74744,Super 8 Motel - Phoenix West I-10,2.0,1,57,-1
2005,February,73859,La Quinta Inn Phoenix Thomas Road,2.0,1,58,-1
2005,February,73718,Lexington Hotel Central Phoenix,2.0,6,59,-1
2005,February,73792,Embassy Suites Phoenix Airport at 24th Street,2.0,4,60,-1
2005,February,313465,Super 8 Phoenix Downtown,2.0,1,61,-1
2005,February,73782,Comfort Suites Conference Center,1.5,2,62,-1
2005,February,73706,BEST WESTERN Airport Inn,1.5,2,63,-1
2005,February,73743,A Victory Inn & Suites Phoenix North,1.0,2,64,-1
2005,February,74561,Sterling International Hotels,1.0,1,65,-1
2005,February,119337,Super 7 Motel,1.0,1,66,-1
2005,February,223861,SpringHill Suites Phoenix Downtown,1.0,1,67,-1
2005,February,74752,Phoenix Metro North Super 8 Motel,1.0,1,68,-1
2005,February,74826,Courtyard by Marriott Phoenix Camelback,1.0,1,69,-1
2005,March,239947,TownePlace Suites Phoenix Metrocenter Mall,25.0,1,1,0
2005,March,223273,Holiday Inn Express Phoenix Downtown,25.0,1,2,75
2005,March,74590,Courtyard by Marriott Phoenix Airport,24.0,1,3,74
2005,March,224757,Red Roof Inn Phoenix West,21.0,1,4,73
2005,March,74652,Extended Stay America - Phoenix - Midtown,18.0,1,5,-3
2005,March,240682,Fairfield Inn & Suites - Phoenix,18.0,1,6,71
2005,March,119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1,7,-4
2005,March,74583,Fairfield Inn Phoenix Airport,15.0,1,8,-4
2005,March,286542,Marriott's Canyon Villas,14.0,2,9,-4
2005,March,119353,Homewood Suites by Hilton Phoenix-Metro Center,12.0,2,10,-4
2005,March,223035,Hilton Garden Inn Phoenix Airport,12.0,2,11,-4
