Year,Month,Hotel ID,Hotel Name,Total Rating,Overall Customers,Rank,Change
2005,February,91490,Super 8 Indianapolis College Park,4.0,2,29,-2
2005,February,251963,Super 8 Indianapolis South,4.0,1,30,-2
2005,February,91458,Fairfield Inn Indianapolis South,4.0,1,31,-2
2005,February,91609,Courtyard by Marriott Indianapolis Airport,4.0,1,32,-2
2005,February,631598,Candlewood Suites Indianapolis Dwtn Medical Dist,4.0,1,33,-2
2005,February,223827,Fairfield Inn & Suites Indianapolis East,4.0,1,34,-1
2005,February,91558,La Quinta Inn Indianapolis East,4.0,1,35,-1
2005,February,120794,Hyatt Place Indianapolis Airport,4.0,1,36,-1
2005,February,224259,Hilton Indianapolis,4.0,2,37,-1
2005,February,265878,Radisson Hotel Indianapolis Airport,3.9,10,38,-1
2005,February,88171,Marriott Indianapolis East,3.5,4,39,-1
2005,February,144736,Dollar Inn - Indianapolis,3.142857142857143,7,40,-1
2005,February,88172,Hilton Indianapolis North,3.111111111111111,9,41,-1
2005,February,240139,Super 8 Indianapolis/Emerson,3.0,1,42,-1
2005,February,120810,Dollar Inn - Castleton,3.0,1,43,-1
2005,February,91506,The Gatehouse Suites Indianapolis,3.0,2,44,-1
2005,February,224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2,45,-1
2005,February,91441,Baymont Inn & Suites Indianapolis South,2.5,2,46,-1
2005,February,91446,Bridgemont Residence Inn,2.0,1,47,-1
2005,February,268139,America's Best Inn & Suites Indianapolis / Airport Area,2.0,1,48,-1
2005,February,224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,1.6666666666666667,3,49,0
2005,February,88153,Best Inn,1.5,2,50,0
2005,February,91573,University Place Conference Center & Hotel Indianapolis,1.5,2,51,0
2005,February,124015,Cavalier's Resort & Conference Center,1.1666666666666667,6,52,0
2005,February,582205,Rodeway Inn,1.0,4,53,0
2005,February,91436,Kings Inn of Indianapolis,1.0,1,54,0
2005,February,278566,Americas Best Value Inn-Indy East,1.0,1,55,0
2005,February,120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1,56,0
2005,February,530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2,57,0
2005,February,120798,Jameson Inn of Indy Castleton,1.0,3,58,0
2005,March,91599,Residence Inn Indianapolis Airport,24.0,1,1,62
2005,March,224832,Wingate by Wyndham Indianapolis Northwest,24.0,1,2,61
2005,March,88151,Comfort Inn & Suites N at Pyramids,20.0,1,3,-2
2005,March,78887,Clarion Hotel & Conference Center,14.0,2,4,-2
2005,March,91609,Courtyard by Marriott Indianapolis Airport,13.5,2,5,27
2005,March,91491,Drury Inn Indianapolis,13.5,2,6,57
2005,March,91602,La Quinta Inn Indianapolis Airport Lynhurst,12.5,2,7,-4
2005,March,91454,Comfort Inn,12.0,2,8,-4
2005,March,91484,Caribbean Cove Hotel & Conference Center,11.636363636363637,11,9,-3
2005,March,223363,Staybridge Suites Indianapolis - Fishers,11.25,4,10,-5
2005,March,91519,Courtyard by Marriott Indianapolis Carmel,10.0,3,11,16
2005,March,88188,Holiday Inn Indianapolis North/Carmel,9.0,1,12,-5
2005,March,224259,Hilton Indianapolis,9.0,3,13,24
2005,March,223830,Marriott Indianapolis Downtown,8.666666666666666,6,14,-6
2005,March,91607,Fairfield Inn & Suites Indianapolis Airport,8.5,2,15,-6
2005,March,287572,Hilton Garden Inn Indianapolis Downtown,8.5,10,16,8
2005,March,111623,Embassy Suites Indianapolis North,8.5,4,17,-7
2005,March,88155,Embassy Suites Indianapolis - Downtown,8.25,8,18,-4
2005,March,111624,Hampton Inn Indianapolis Dwtn Across from Circle Centre,7.142857142857143,7,19,-8
2005,March,224820,Red Roof Inn Indianapolis North - College Park,7.0,2,20,-8
2005,March,88168,Hyatt Regency Indianapolis,6.7272727272727275,11,21,-8
2005,March,91462,Courtyard Indianapolis South,6.5,2,22,-7
2005,March,141972,Quality Inn & Suites East,6.25,4,23,-7
2005,March,91474,TownePlace Suites Indianapolis NW,6.0,1,24,-7
2005,March,265878,Radisson Hotel Indianapolis Airport,5.636363636363637,11,25,13
2005,March,88164,Crowne Plaza Indianapolis Downtown (Union Station),5.285714285714286,7,26,-8
2005,March,288193,The Suites at 14 West,5.0,2,27,-7
2005,March,120813,Country Inn & Suites By Carlson Indianapolis-South,5.0,1,28,-7
2005,March,120783,Columbia Club,5.0,1,29,-7
2005,March,91577,Residence Inn Indianapolis Downtown on the Canal,5.0,1,30,-7
2005,March,88186,The Westin Indianapolis,4.875,8,31,-12
2005,March,88173,Omni Severin Hotel,4.578947368421052,19,32,-7
2005,March,91450,Holiday Inn Express Indianapolis South,4.5,2,33,-7
2005,March,91509,Marriott Indianapolis North,4.333333333333333,6,34,-6
2005,March,91490,Super 8 Indianapolis College Park,4.0,2,35,-6
2005,March,251963,Super 8 Indianapolis South,4.0,1,36,-6
2005,March,91458,Fairfield Inn Indianapolis South,4.0,1,37,-6
2005,March,223827,Fairfield Inn & Suites Indianapolis East,4.0,1,38,-4
2005,March,91558,La Quinta Inn Indianapolis East,4.0,1,39,-4
2005,March,120794,Hyatt Place Indianapolis Airport,4.0,1,40,-4
2005,March,268139,America's Best Inn & Suites Indianapolis / Airport Area,3.5,2,41,7
2005,March,224830,Extended Stay Deluxe - Indianapolis - Northwest - I-465,3.5,4,42,7
2005,March,631598,Candlewood Suites Indianapolis Dwtn Medical Dist,3.5,2,43,-10
2005,March,88171,Marriott Indianapolis East,3.5,4,44,-5
2005,March,144736,Dollar Inn - Indianapolis,3.142857142857143,7,45,-5
2005,March,88172,Hilton Indianapolis North,3.111111111111111,9,46,-5
2005,March,240139,Super 8 Indianapolis/Emerson,3.0,1,47,-5
2005,March,120810,Dollar Inn - Castleton,3.0,1,48,-5
2005,March,91506,The Gatehouse Suites Indianapolis,3.0,2,49,-5
2005,March,224793,La Quinta Inn Indianapolis Airport Executive Drive,3.0,2,50,-5
2005,March,91573,University Place Conference Center & Hotel Indianapolis,2.75,4,51,0
2005,March,91441,Baymont Inn & Suites Indianapolis South,2.5,2,52,-6
2005,March,91446,Bridgemont Residence Inn,2.0,1,53,-6
2005,March,223208,Ramada I-70 East Indianapolis,2.0,1,54,9
2005,March,88153,Best Inn,1.5,2,55,-5
2005,March,124015,Cavalier's Resort & Conference Center,1.1666666666666667,6,56,-4
2005,March,582205,Rodeway Inn,1.0,4,57,-4
2005,March,91436,Kings Inn of Indianapolis,1.0,1,58,-4
2005,March,278566,Americas Best Value Inn-Indy East,1.0,1,59,-4
2005,March,120766,Extended Stay Deluxe - Indianapolis - Airport - W. Southern Ave.,1.0,1,60,-4
2005,March,530673,La Quinta Inn Indianapolis North at Pyramids,1.0,2,61,-4
2005,March,120798,Jameson Inn of Indy Castleton,1.0,3,62,-4
2005,April,91599,Residence Inn Indianapolis Airport,24.0,1,1,0
2005,April,224832,Wingate by Wyndham Indianapolis Northwest,24.0,1,2,0
2005,April,88151,Comfort Inn & Suites N at Pyramids,20.0,1,3,0
2005,April,91428,Sleep Inn Airport West,19.0,1,4,62
2005,April,78887,Clarion Hotel & Conference Center,14.0,2,5,-1
2005,April,91609,Courtyard by Marriott Indianapolis Airport,13.5,2,6,-1
2005,April,91491,Drury Inn Indianapolis,13.5,2,7,-1
2005,April,91577,Residence Inn Indianapolis Downtown on the Canal,13.0,2,8,22
2005,April,91602,La Quinta Inn Indianapolis Airport Lynhurst,12.5,2,9,-2
2005,April,91454,Comfort Inn,12.0,2,10,-2
2005,April,88161,Hampton Inn Indianapolis-East,12.0,1,11,55
2005,April,91484,Caribbean Cove Hotel & Conference Center,12.0,16,12,-3
2005,April,111623,Embassy Suites Indianapolis North,11.4,5,13,4
2005,April,223363,Staybridge Suites Indianapolis - Fishers,11.25,4,14,-4
2005,April,224259,Hilton Indianapolis,10.8,5,15,-2
2005,April,91519,Courtyard by Marriott Indianapolis Carmel,10.0,3,16,-5
2005,April,287572,Hilton Garden Inn Indianapolis Downtown,9.818181818181818,11,17,-1
2005,April,88188,Holiday Inn Indianapolis North/Carmel,9.0,1,18,-6
2005,April,223830,Marriott Indianapolis Downtown,8.666666666666666,6,19,-5
2005,April,91607,Fairfield Inn & Suites Indianapolis Airport,8.5,2,20,-5
